district_name,geonames_id,province,latitude,longitude,elevation_m,coast_distance_km,active_fault_distance_km,makran_subduction_distance_km,avg_annual_rainfall_mm,summer_max_temp_c,vegetation_index_ndvi,river_proximity_km,population_density,infrastructure_quality_score,simulated_flood_events,simulated_earthquake_events,soil_type,flood_risk,heatwave_risk,seismic_risk
Bagh,7536188,Azad Jammu & Kashmir,33.99611,73.75769,1561,1154.7,6.5,1443.5,1532.0,32.5,0.532,3.43,174.0,6.4,5,5,sandy,2,0,2
Bhimbar,7536187,Azad Jammu & Kashmir,33.00941,74.11762,393,1094.2,7.0,1395.1,915.0,39.7,0.439,16.88,720.0,3.3,6,1,alluvial,1,0,1
Hatian,8309755,Azad Jammu & Kashmir,34.17282,73.84699,1418,1174.6,1.6,1462.4,1605.0,31.9,0.521,2.12,733.0,5.2,13,3,sandy,2,0,2
Haveli,8309754,Azad Jammu & Kashmir,33.92591,74.11295,1904,1168.3,17.9,1460.3,1870.0,30.0,0.632,3.58,603.0,4.4,9,4,alluvial,2,0,1
Kotli,1173037,Azad Jammu & Kashmir,33.44559,73.91557,910,1117.3,42.2,1412.7,916.0,37.1,0.377,5.75,369.0,5.3,5,2,alluvial,1,0,0
Mirpur,1170297,Azad Jammu & Kashmir,33.21556,73.75144,336,1088.9,17.3,1385.5,879.0,42.8,0.466,3.8,655.0,4.8,8,3,rocky,2,1,1
Muzaffarabad,1169606,Azad Jammu & Kashmir,34.3428,73.58986,2148,1175.9,4.9,1460.1,1492.0,28.9,0.532,1.75,311.0,4.9,7,3,sandy,2,0,1
Neelum,8199376,Azad Jammu & Kashmir,34.93,74.504,3964,1274.3,35.5,1559.5,1063.0,17.6,0.451,23.32,332.0,7.4,4,1,rocky,0,0,0
Poonch,1167717,Azad Jammu & Kashmir,33.81691,73.8252,1962,1143.1,25.2,1434.2,1562.0,29.7,0.588,12.86,196.0,4.6,7,1,alluvial,1,0,0
Sudhanoti,8986039,Azad Jammu & Kashmir,33.715,73.68583,1349,1126.8,16.9,1418.0,1201.0,33.0,0.588,7.6,496.0,5.8,7,2,alluvial,1,0,0
Awaran,6641896,Balochistan,26.21157,65.42944,343,93.1,1.8,297.1,92.0,42.3,0.137,32.76,31.0,3.6,1,6,clay,0,1,2
Barkhan,6641912,Balochistan,29.98482,69.69944,1208,582.8,10.6,879.6,252.0,36.1,0.113,51.44,16.0,3.6,1,2,clay,0,0,1
Chagai,1181950,Balochistan,28.98765,63.59087,905,400.7,179.7,523.4,182.0,41.4,0.15,60.35,29.0,3.9,3,0,sandy,0,1,0
Dera Bugti,6641919,Balochistan,28.9425,69.06883,965,454.1,12.7,759.0,206.0,38.0,0.108,49.19,29.0,4.4,4,1,clay,0,0,1
Gwadar,1177445,Balochistan,25.39336,63.18104,60,15.4,14.8,123.3,71.0,41.1,0.061,52.29,74.0,5.7,1,5,alluvial,0,0,1
Harnai,8309758,Balochistan,30.16616,67.68111,1158,524.0,43.0,774.4,207.0,36.1,0.243,71.77,59.0,6.2,0,2,sandy,0,0,0
Jafarabad,6641922,Balochistan,28.30104,68.19783,54,349.1,4.9,650.5,125.0,46.0,0.152,28.57,30.0,4.2,1,3,alluvial,0,1,1
Jhal Magsi,6641923,Balochistan,28.36881,67.543,66,329.2,18.6,610.9,100.0,45.3,0.07,8.68,34.0,4.6,4,1,alluvial,0,1,1
Kachhi,1175527,Balochistan,29.50385,67.49516,470,448.4,11.8,704.6,206.0,41.7,0.116,69.98,32.0,2.5,1,2,clay,0,0,1
Kalat,1175293,Balochistan,28.88242,66.53165,2167,365.3,29.3,596.9,219.0,31.0,0.175,8.6,27.0,3.7,8,0,clay,0,0,0
Kech,1163052,Balochistan,26.01791,63.11031,152,85.1,9.4,192.8,67.0,43.7,0.024,23.82,17.0,4.7,2,2,rocky,0,1,1
Kharan,1174059,Balochistan,28.60862,65.53123,720,342.3,25.7,525.2,134.0,41.0,0.092,51.6,28.0,4.9,0,1,sandy,0,1,1
Khuzdar,1173663,Balochistan,27.4868,66.58703,1900,211.2,1.4,477.2,163.0,32.9,0.159,52.7,21.0,3.9,0,3,sandy,0,0,2
Kohlu,1173463,Balochistan,29.64414,68.80721,1008,507.5,0.6,794.7,198.0,37.0,0.22,29.51,16.0,4.6,2,1,clay,0,0,2
Lasbela,1172115,Balochistan,25.78634,66.6033,31,29.3,41.4,364.6,85.0,40.7,0.126,35.05,39.0,4.6,2,0,sandy,0,0,0
Loralai,1171867,Balochistan,30.30253,68.84636,1291,574.6,16.8,851.2,230.0,36.3,0.065,48.43,36.0,5.4,4,5,rocky,0,0,1
Mastung,6641952,Balochistan,29.79455,66.72068,1680,467.8,14.6,692.9,290.0,35.4,0.226,20.85,20.0,4.0,4,7,alluvial,0,0,2
Musa Khel,6641955,Balochistan,30.84937,69.90069,1303,673.6,19.1,960.2,266.0,36.0,0.202,107.51,28.0,3.4,0,1,sandy,0,0,0
Nasirabad,1169249,Balochistan,28.62643,68.12925,70,377.7,29.3,670.2,135.0,44.7,0.147,17.17,49.0,4.5,2,2,alluvial,0,1,0
Nushki,6641960,Balochistan,29.5,65.66667,898,438.0,31.4,621.2,220.0,39.3,0.255,32.21,51.0,1.0,4,1,rocky,0,0,1
Panjgur,1168444,Balochistan,26.7375,64.2038,1012,149.1,16.4,285.1,129.0,40.6,0.02,26.06,50.0,4.6,4,4,sandy,0,1,1
Pishin,1167820,Balochistan,30.81809,67.21389,2005,586.2,20.2,814.1,296.0,31.5,0.184,41.45,35.0,1.0,1,2,alluvial,0,0,1
Qila Abdullah,6641961,Balochistan,30.69854,66.55611,1752,567.2,8.8,775.6,276.0,32.5,0.233,103.79,23.0,1.7,2,3,clay,0,0,2
Qila Saifullah,6641963,Balochistan,30.95392,68.33996,1935,625.2,18.1,880.3,264.0,35.7,0.119,16.27,17.0,4.1,7,3,clay,0,0,1
Quetta,1167527,Balochistan,30.17458,66.76203,1638,510.2,12.5,731.7,311.0,34.4,0.295,52.23,189.0,5.4,4,3,sandy,0,0,1
Shirani,8309759,Balochistan,31.75421,69.70663,1203,753.7,22.8,1024.3,302.0,37.6,0.235,59.23,36.0,2.6,1,1,alluvial,0,0,0
Sibi,1164895,Balochistan,29.55673,67.91611,132,465.5,28.2,733.0,154.0,44.2,0.18,81.7,58.0,3.4,1,2,rocky,0,1,1
Sohbatpur,11744842,Balochistan,28.50933,68.64553,56,391.6,6.7,697.7,104.0,43.7,0.079,18.98,52.0,5.8,5,6,clay,0,1,2
Usta Muhammad,13631695,Balochistan,28.17833,68.04305,51,329.9,21.3,630.5,98.0,43.8,0.145,18.26,28.0,3.3,3,1,alluvial,0,2,1
Washuk,6641965,Balochistan,27.75,64.5,597,264.6,37.6,401.1,125.0,43.4,0.174,32.53,16.0,6.2,3,2,rocky,0,1,0
Zhob,1162104,Balochistan,31.36444,69.20749,1556,695.7,0.8,963.0,310.0,35.6,0.232,33.06,26.0,3.8,2,4,sandy,0,0,2
Ziarat,6641972,Balochistan,30.43591,67.50962,1906,549.4,18.5,791.0,333.0,31.9,0.244,15.17,49.0,4.6,2,2,rocky,0,0,1
Astor,8309748,Gilgit-Baltistan,35.31352,74.92388,4176,1329.2,55.1,1613.6,534.0,14.7,0.218,10.71,14.0,5.4,5,1,alluvial,0,0,0
Diamir,8358421,Gilgit-Baltistan,35.53409,74.03287,1924,1303.7,35.4,1580.0,483.0,31.1,0.254,9.97,11.0,3.5,5,1,alluvial,0,0,0
Ghanche,7419077,Gilgit-Baltistan,35.21695,76.42429,2545,1405.0,7.4,1698.5,894.0,24.7,0.423,23.66,17.0,2.4,5,4,clay,0,0,2
Ghizer,11594770,Gilgit-Baltistan,36.1667,73.75,2275,1348.7,28.6,1616.9,165.0,26.2,0.136,5.2,12.0,3.2,4,2,rocky,0,0,0
Gilgit,8358419,Gilgit-Baltistan,35.88013,74.41232,1436,1352.9,54.1,1628.7,281.0,33.3,0.225,2.63,11.0,3.3,6,0,rocky,0,0,0
Kharmang,11744834,Gilgit-Baltistan,34.90302,76.0805,4089,1360.3,39.4,1654.8,1180.0,15.5,0.445,3.05,18.0,2.0,7,3,alluvial,1,0,0
Nagar,11744838,Gilgit-Baltistan,36.27332,74.62348,2740,1398.1,61.5,1672.0,159.0,24.0,0.088,8.55,12.0,3.1,12,1,rocky,0,0,0
Shigar,11744839,Gilgit-Baltistan,35.76145,75.75074,5371,1410.8,17.9,1696.2,243.0,9.7,0.02,3.44,17.0,2.7,5,3,clay,1,0,1
Skardu,1183615,Gilgit-Baltistan,35.40116,75.62633,4452,1374.3,23.3,1662.1,520.0,13.6,0.227,11.26,17.0,4.7,5,2,rocky,0,0,1
Islamabad,1162015,Islamabad Capital Territory,33.71039,73.13382,527,1096.8,1.7,1383.7,1243.0,41.0,0.467,4.79,7144.0,6.8,8,4,sandy,2,0,2
Abbottabad,1185055,Khyber Pakhtunkhwa,34.09497,73.26043,1074,1137.2,8.0,1421.3,952.0,35.9,0.404,11.53,385.0,4.9,3,1,rocky,0,0,1
Bajaur,1183781,Khyber Pakhtunkhwa,34.75732,71.49067,924,1120.8,4.5,1380.9,427.0,37.1,0.285,9.48,772.0,5.4,9,2,alluvial,1,0,1
Bannu,1183459,Khyber Pakhtunkhwa,32.90357,70.63676,342,904.6,14.3,1174.4,419.0,39.1,0.313,4.52,2262.0,6.4,7,4,sandy,2,0,1
Battagram,8224052,Khyber Pakhtunkhwa,34.68051,73.00535,1071,1177.6,18.1,1453.6,928.0,35.5,0.439,2.43,122.0,5.3,8,2,alluvial,2,0,1
Buner,1182146,Khyber Pakhtunkhwa,34.44301,72.49933,728,1132.3,36.9,1406.2,838.0,37.1,0.482,23.12,142.0,3.5,7,0,sandy,1,0,0
Charsadda,7419051,Khyber Pakhtunkhwa,34.25102,71.69037,325,1079.1,24.4,1346.6,695.0,39.4,0.416,13.09,1388.0,4.6,4,1,alluvial,1,0,0
Chitral,1181064,Khyber Pakhtunkhwa,36.25829,72.24302,2374,1297.3,2.6,1551.2,96.0,25.5,0.145,3.45,355.0,6.5,8,2,rocky,1,0,1
Dera Ismail Khan,1180282,Khyber Pakhtunkhwa,31.85963,70.64879,194,804.5,40.4,1087.4,266.0,42.2,0.227,3.78,332.0,4.6,12,1,alluvial,2,1,0
Hangu,7419048,Khyber Pakhtunkhwa,33.44718,70.88772,996,968.2,0.5,1234.9,260.0,37.5,0.312,34.82,916.0,4.0,2,6,alluvial,0,0,2
Haripur,7419054,Khyber Pakhtunkhwa,33.9459,72.91146,527,1106.3,10.6,1389.0,985.0,38.1,0.442,4.81,213.0,5.4,7,2,rocky,2,0,0
Karak,7419047,Khyber Pakhtunkhwa,33.13609,71.08336,680,945.9,2.2,1218.6,388.0,38.8,0.157,12.06,781.0,6.1,6,4,rocky,1,0,2
Khyber,1173641,Khyber Pakhtunkhwa,33.96113,71.0577,1357,1025.5,42.7,1288.7,456.0,33.6,0.367,1.89,1375.0,4.0,5,1,alluvial,1,0,0
Kohat,1173489,Khyber Pakhtunkhwa,33.44911,71.54394,424,995.9,13.3,1270.5,579.0,40.0,0.311,7.06,262.0,5.3,9,7,sandy,1,0,2
Kurram,1172574,Khyber Pakhtunkhwa,33.71017,70.3401,1197,974.2,9.0,1230.7,287.0,36.2,0.215,17.71,311.0,6.0,3,1,clay,0,0,1
Lakki Marwat,7419039,Khyber Pakhtunkhwa,32.59921,70.85119,275,884.1,33.4,1160.3,263.0,42.2,0.263,1.59,426.0,5.7,5,1,clay,1,1,0
Lower Dir,7419056,Khyber Pakhtunkhwa,34.85194,71.85335,757,1144.1,12.0,1407.3,510.0,38.9,0.228,6.16,231.0,5.7,13,3,clay,2,0,1
Lower Kohistan,12105028,Khyber Pakhtunkhwa,35.11028,73.00495,774,1217.4,9.4,1489.2,847.0,37.2,0.356,5.88,297.0,3.4,2,3,clay,1,0,1
Malakand,1171388,Khyber Pakhtunkhwa,34.53635,71.8847,531,1114.7,1.1,1381.4,575.0,38.5,0.253,14.8,900.0,6.0,5,6,alluvial,0,0,2
Mansehra,1170950,Khyber Pakhtunkhwa,34.64827,73.4647,2021,1196.7,1.0,1476.9,1060.0,29.2,0.429,13.89,882.0,5.3,11,2,clay,1,0,1
Mardan,1170875,Khyber Pakhtunkhwa,34.30671,72.09042,339,1101.4,30.5,1372.6,558.0,40.8,0.348,14.77,423.0,4.7,3,1,alluvial,1,0,0
Mohmand,1170122,Khyber Pakhtunkhwa,34.46386,71.35116,656,1086.5,0.3,1348.0,355.0,38.6,0.268,11.94,1376.0,6.9,5,0,alluvial,0,0,1
North Waziristan,1168875,Khyber Pakhtunkhwa,32.95087,69.95764,1123,883.8,26.4,1143.2,250.0,34.9,0.204,13.87,483.0,7.1,4,4,clay,0,0,1
Nowshera,7419052,Khyber Pakhtunkhwa,33.92538,71.98092,494,1060.4,0.6,1334.5,710.0,39.8,0.308,2.99,2156.0,8.3,8,7,rocky,2,0,2
Orakzai,1168705,Khyber Pakhtunkhwa,33.70777,71.00238,2178,998.4,17.1,1263.6,508.0,32.3,0.192,11.99,436.0,6.8,5,1,sandy,0,0,0
Peshawar,1168195,Khyber Pakhtunkhwa,33.98512,71.55784,355,1047.9,29.0,1316.8,464.0,43.1,0.293,25.98,6421.0,6.5,2,1,clay,0,1,0
Shangla,7419053,Khyber Pakhtunkhwa,34.68516,72.70139,800,1164.1,19.0,1437.3,931.0,39.2,0.416,10.25,422.0,5.7,6,2,clay,1,0,0
South Waziristan,1164536,Khyber Pakhtunkhwa,32.30397,69.68207,1608,808.3,25.1,1071.2,291.0,32.3,0.234,5.93,1732.0,6.9,6,1,sandy,1,0,0
Swabi,7419055,Khyber Pakhtunkhwa,34.14133,72.47665,383,1103.2,30.0,1379.9,812.0,40.0,0.444,6.41,587.0,5.6,9,0,rocky,2,0,0
Swat,1164211,Khyber Pakhtunkhwa,35.2416,72.49933,2586,1208.0,23.2,1473.9,645.0,24.0,0.364,24.7,246.0,5.1,4,1,sandy,0,0,1
Tank,7419040,Khyber Pakhtunkhwa,32.24,70.39256,266,829.6,11.0,1104.2,193.0,41.3,0.198,0.54,607.0,6.4,6,3,sandy,1,1,1
Tor Ghar,8061265,Khyber Pakhtunkhwa,34.55872,72.85207,1525,1159.2,36.5,1435.1,1044.0,33.0,0.477,45.6,296.0,5.0,3,2,sandy,0,0,0
Upper Dir,1179754,Khyber Pakhtunkhwa,35.30879,72.04692,1820,1196.4,2.1,1457.1,386.0,31.6,0.283,1.25,274.0,4.2,8,3,sandy,1,0,2
Upper Kohistan,12105031,Khyber Pakhtunkhwa,35.27377,73.22684,892,1242.5,13.2,1514.7,467.0,35.7,0.256,7.94,551.0,4.9,10,4,clay,1,0,1
Attock,1184248,Punjab,33.50812,72.33416,389,1038.2,8.7,1320.3,896.0,39.9,0.422,4.52,563.0,6.2,9,1,clay,2,0,1
Bahawalnagar,1183882,Punjab,29.64106,73.02531,154,763.5,182.6,1107.3,131.0,41.7,0.134,18.3,517.0,5.4,6,0,clay,0,1,0
Bahawalpur,1183876,Punjab,28.83993,71.71272,111,624.0,153.3,957.9,186.0,44.3,0.197,20.57,454.0,5.7,9,0,alluvial,1,1,0
Bhakkar,7418966,Punjab,31.64699,71.43428,173,824.8,14.0,1119.6,319.0,41.7,0.206,14.24,533.0,6.2,7,1,rocky,1,0,1
Chakwal,7418964,Punjab,32.89779,72.53114,483,993.8,27.5,1284.3,894.0,39.7,0.456,11.17,582.0,5.0,6,2,rocky,1,0,0
Chiniot,11886901,Punjab,31.72,72.98,188,922.4,63.6,1229.0,606.0,41.8,0.33,2.12,493.0,6.2,6,0,sandy,2,0,0
Dera Ghazi Khan,1180287,Punjab,30.475,70.40447,528,664.8,15.8,963.7,189.0,40.9,0.151,9.09,638.0,5.9,4,0,alluvial,0,1,0
Faisalabad,1179399,Punjab,31.23089,73.19753,180,899.8,55.9,1212.6,379.0,41.2,0.295,10.89,1468.0,4.4,7,1,clay,1,1,0
Gujranwala,1177658,Punjab,32.1885,74.05362,219,1027.4,71.2,1335.6,771.0,40.8,0.297,4.57,2049.0,7.8,8,0,alluvial,2,0,0
Gujrat,1177651,Punjab,32.70049,74.05447,257,1066.2,23.8,1369.6,721.0,43.9,0.317,15.85,579.0,4.8,5,3,sandy,1,1,0
Hafizabad,7418962,Punjab,32.02191,73.51315,198,979.8,61.8,1286.6,530.0,41.2,0.242,14.3,591.0,3.4,6,1,clay,1,0,0
Jhang,1175906,Punjab,31.32804,72.35501,157,852.1,1.0,1158.6,287.0,41.9,0.092,9.62,376.0,3.9,3,4,alluvial,0,1,2
Jhelum,1175862,Punjab,32.8205,73.356,346,1033.5,9.2,1331.3,808.0,43.0,0.373,12.33,713.0,4.3,10,3,rocky,2,1,1
Kasur,1174623,Punjab,31.00695,74.13534,189,945.4,147.7,1269.7,396.0,45.9,0.298,9.47,292.0,5.1,4,0,sandy,1,2,0
Khanewal,7418890,Punjab,30.37339,72.06096,146,759.3,109.6,1074.3,169.0,42.4,0.132,2.19,508.0,5.0,7,0,sandy,1,1,0
Khushab,7418965,Punjab,32.18259,72.111,185,908.7,23.0,1203.5,474.0,42.1,0.304,17.77,337.0,4.7,5,1,alluvial,0,1,0
Lahore,1172449,Punjab,31.48627,74.3979,218,1000.7,135.0,1317.4,662.0,42.9,0.417,15.33,5219.0,7.3,7,0,clay,2,1,0
Layyah,7418967,Punjab,30.968,70.943,147,738.1,45.5,1036.4,186.0,45.0,0.222,3.59,531.0,5.8,3,1,alluvial,0,2,0
Lodhran,7418846,Punjab,29.68691,71.6902,117,683.0,128.9,1003.7,163.0,43.0,0.139,16.2,370.0,5.6,3,1,clay,0,1,0
Mandi Bahauddin,7418963,Punjab,32.44206,73.46183,214,1009.3,18.7,1311.6,706.0,41.9,0.445,16.61,732.0,6.0,10,1,rocky,1,1,0
Mianwali,1170424,Punjab,32.70126,71.51325,199,924.2,12.1,1207.1,412.0,42.9,0.272,16.64,486.0,6.1,4,2,clay,0,0,1
Multan,1169821,Punjab,29.93312,71.38607,116,680.4,91.4,995.8,129.0,44.4,0.081,22.19,628.0,2.9,3,0,alluvial,0,2,0
Muzaffargarh,1169603,Punjab,30.03739,71.05876,116,667.0,57.7,978.5,147.0,43.5,0.104,28.96,348.0,4.7,1,0,rocky,0,2,0
Nankana Sahib,7419159,Punjab,31.48198,73.69882,192,952.0,106.6,1265.1,590.0,42.6,0.264,8.74,631.0,2.8,0,2,alluvial,1,1,0
Narowal,7418968,Punjab,32.21114,74.95318,247,1089.4,77.9,1401.8,596.0,40.7,0.296,21.83,468.0,5.3,3,1,alluvial,0,0,0
Okara,7418888,Punjab,30.70939,73.68882,175,895.5,119.0,1218.3,316.0,43.0,0.206,8.56,441.0,5.3,5,0,alluvial,0,1,0
Pakpattan,7418850,Punjab,30.30098,73.26013,161,836.3,121.9,1161.8,224.0,43.2,0.217,15.79,446.0,6.5,5,0,alluvial,0,0,0
Rahimyar Khan,1167458,Punjab,28.4602,70.52837,81,511.8,76.9,840.1,101.0,45.0,0.192,24.17,504.0,6.8,4,0,clay,0,1,0
Rajanpur,8309731,Punjab,29.15928,70.15183,108,538.1,0.9,853.2,101.0,43.8,0.037,6.08,723.0,5.8,9,0,sandy,1,2,1
Rawalpindi,1166991,Punjab,33.42987,73.23092,562,1077.6,7.2,1368.2,1134.0,39.9,0.504,0.81,1221.0,5.2,16,3,sandy,2,0,1
Sahiwal,1166545,Punjab,30.54824,72.91365,167,830.8,82.5,1149.3,226.0,44.3,0.126,5.57,258.0,5.6,4,0,alluvial,1,2,0
Sargodha,1165999,Punjab,32.08958,72.71974,188,935.9,47.3,1236.8,640.0,42.6,0.379,26.67,281.0,4.4,3,1,alluvial,1,1,0
Shekhupura,1165218,Punjab,31.70969,74.1382,207,998.3,121.3,1311.5,602.0,42.9,0.336,4.94,2326.0,6.1,4,1,clay,2,0,0
Sialkot,1164908,Punjab,32.44333,74.56817,247,1080.1,76.6,1388.5,1201.0,42.0,0.405,25.66,1521.0,7.1,2,2,rocky,1,0,0
Toba Tek Singh,7331706,Punjab,30.92857,72.53692,160,832.9,35.6,1145.0,288.0,43.2,0.256,5.59,410.0,4.6,5,1,rocky,1,1,0
Vehari,10344547,Punjab,30.04194,72.35278,142,755.3,135.8,1076.1,144.0,43.0,0.102,10.48,137.0,5.6,2,0,sandy,0,1,0
Badin,1184051,Sindh,24.72437,68.87457,9,97.5,41.8,558.5,171.0,46.5,0.12,12.37,112.0,5.4,3,3,clay,0,2,0
Dadu,1180802,Sindh,26.87326,67.50895,57,179.8,35.0,501.7,106.0,45.5,0.055,4.92,165.0,3.6,7,2,alluvial,0,2,0
Ghotki,7418822,Sindh,27.81569,69.65807,73,402.0,40.6,732.8,142.0,47.3,0.098,10.57,189.0,6.0,2,0,alluvial,0,2,0
Hyderabad,1176733,Sindh,25.43244,68.48421,22,151.8,114.5,529.6,177.0,47.9,0.172,2.65,2104.0,6.9,4,0,alluvial,2,2,0
Jacobabad,1176514,Sindh,28.2221,68.4902,58,357.0,22.6,666.1,123.0,45.5,0.11,9.4,255.0,5.1,6,0,alluvial,1,2,0
Jamshoro,7419156,Sindh,25.74112,67.81364,232,125.5,39.5,474.0,163.0,43.9,0.159,11.59,259.0,4.1,1,1,sandy,0,1,0
Karachi Central,11744831,Sindh,24.95531,67.07147,40,17.3,16.4,380.9,84.0,39.7,0.114,0.87,4174.0,5.4,6,2,clay,2,1,0
Karachi East,11744832,Sindh,24.9238,67.12322,50,14.8,13.5,385.5,94.0,41.6,0.168,5.52,1641.0,5.3,4,2,sandy,1,1,1
Karachi South,11744833,Sindh,24.82426,67.03311,7,2.3,1.4,374.9,87.0,38.7,0.08,15.44,2543.0,6.8,5,9,rocky,0,0,2
Kashmore,9035095,Sindh,28.44107,69.58354,75,443.5,14.6,763.6,109.0,45.3,0.037,4.39,318.0,4.0,7,4,rocky,1,2,1
Khairpur,1174349,Sindh,26.83477,69.06444,63,292.6,0.5,632.5,97.0,43.9,0.157,17.36,116.0,5.1,6,4,clay,0,1,2
Korangi,11744835,Sindh,24.85545,67.16728,14,9.4,6.5,388.7,120.0,40.7,0.101,18.6,2417.0,4.7,2,7,sandy,0,2,2
Larkana,1172127,Sindh,27.52111,68.19208,51,277.6,30.6,596.6,103.0,45.9,0.162,15.39,263.0,4.8,5,2,alluvial,1,1,0
Malir,11744837,Sindh,25.14593,67.31375,187,44.8,33.8,408.7,87.0,41.6,0.116,21.64,479.0,5.4,4,1,alluvial,0,0,0
Matiari,7419157,Sindh,25.87582,68.41338,28,175.9,98.6,535.1,117.0,45.7,0.109,2.46,868.0,8.6,5,1,clay,2,1,0
Mirpur Khas,1376894,Sindh,25.5508,69.00307,16,190.2,94.3,582.8,175.0,46.7,0.167,24.92,231.0,3.3,1,0,clay,0,2,0
Naushahro Firoz,7352189,Sindh,26.8756,68.12067,46,220.7,72.9,552.6,128.0,45.8,0.22,4.99,701.0,7.3,9,1,rocky,1,1,0
Nawabshah,1169115,Sindh,26.36655,68.31772,32,203.0,90.9,544.9,179.0,45.7,0.256,13.48,227.0,5.1,3,1,rocky,0,2,0
Qamber Shahdadkot,9034783,Sindh,27.58917,68.0,55,272.3,44.2,586.1,179.0,45.3,0.155,39.23,132.0,5.1,1,2,rocky,0,1,0
Sanghar,1166162,Sindh,25.97964,69.29361,14,242.1,41.5,621.8,171.0,46.1,0.155,9.24,262.0,5.1,3,2,clay,0,2,0
Shikarpur,1165106,Sindh,27.95321,68.60919,64,340.3,27.1,657.0,93.0,45.3,0.155,12.61,146.0,5.2,2,2,clay,0,1,0
Sujawal,10300608,Sindh,24.60639,68.07194,12,81.1,16.7,477.1,93.0,47.3,0.058,5.02,179.0,4.6,4,1,sandy,1,2,0
Sukkur,1164407,Sindh,27.49959,69.14697,56,341.5,20.7,673.0,117.0,42.8,0.132,38.98,305.0,6.8,1,3,alluvial,0,1,0
Tando Allahyar,9625763,Sindh,25.46,68.72,25,174.1,121.4,553.2,138.0,46.2,0.127,5.54,964.0,5.1,5,0,rocky,1,2,0
