geonames_id,district_name,province,latitude,longitude,elevation_m,geonames_modified
7536188,Bagh,Azad Jammu & Kashmir,33.99611,73.75769,1561,2023-10-26
7536187,Bhimbar,Azad Jammu & Kashmir,33.00941,74.11762,393,2019-11-28
8309755,Hatian,Azad Jammu & Kashmir,34.17282,73.84699,1418,2019-11-28
8309754,Haveli,Azad Jammu & Kashmir,33.92591,74.11295,1904,2019-11-28
1173037,Kotli,Azad Jammu & Kashmir,33.44559,73.91557,910,2019-11-28
1170297,Mirpur,Azad Jammu & Kashmir,33.21556,73.75144,336,2012-02-22
1169606,Muzaffarabad,Azad Jammu & Kashmir,34.3428,73.58986,2148,2023-10-26
8199376,Neelum,Azad Jammu & Kashmir,34.93,74.504,3964,2025-02-03
1167717,Poonch,Azad Jammu & Kashmir,33.81691,73.8252,1962,2019-03-18
8986039,Sudhanoti,Azad Jammu & Kashmir,33.715,73.68583,1349,2019-11-28
6641896,Awaran,Balochistan,26.21157,65.42944,343,2025-02-02
6641912,Barkhan,Balochistan,29.98482,69.69944,1208,2025-02-03
1181950,Chagai,Balochistan,28.98765,63.59087,905,2025-02-02
6641919,Dera Bugti,Balochistan,28.9425,69.06883,965,2025-02-03
1177445,Gwadar,Balochistan,25.39336,63.18104,60,2025-02-02
8309758,Harnai,Balochistan,30.16616,67.68111,1158,2022-04-01
6641922,Jafarabad,Balochistan,28.30104,68.19783,54,2023-10-26
6641923,Jhal Magsi,Balochistan,28.36881,67.543,66,2025-02-03
1175527,Kachhi,Balochistan,29.50385,67.49516,470,2025-02-02
1175293,Kalat,Balochistan,28.88242,66.53165,2167,2025-02-03
1163052,Kech,Balochistan,26.01791,63.11031,152,2025-02-02
1174059,Kharan,Balochistan,28.60862,65.53123,720,2025-02-02
1173663,Khuzdar,Balochistan,27.4868,66.58703,1900,2025-02-02
1173463,Kohlu,Balochistan,29.64414,68.80721,1008,2022-04-01
1172115,Lasbela,Balochistan,25.78634,66.6033,31,2025-02-02
1171867,Loralai,Balochistan,30.30253,68.84636,1291,2025-02-02
6641952,Mastung,Balochistan,29.79455,66.72068,1680,2025-02-03
6641955,Musa Khel,Balochistan,30.84937,69.90069,1303,2025-02-03
1169249,Nasirabad,Balochistan,28.62643,68.12925,70,2025-02-03
6641960,Nushki,Balochistan,29.5,65.66667,898,2022-03-30
1168444,Panjgur,Balochistan,26.7375,64.2038,1012,2025-02-02
1167820,Pishin,Balochistan,30.81809,67.21389,2005,2023-10-26
6641961,Qila Abdullah,Balochistan,30.69854,66.55611,1752,2025-02-03
6641963,Qila Saifullah,Balochistan,30.95392,68.33996,1935,2025-02-03
1167527,Quetta,Balochistan,30.17458,66.76203,1638,2025-02-04
8309759,Shirani,Balochistan,31.75421,69.70663,1203,2025-02-03
1164895,Sibi,Balochistan,29.55673,67.91611,132,2025-02-03
11744842,Sohbatpur,Balochistan,28.50933,68.64553,56,2025-02-04
13631695,Usta Muhammad,Balochistan,28.17833,68.04305,51,2026-05-05
6641965,Washuk,Balochistan,27.75,64.5,597,2025-02-02
1162104,Zhob,Balochistan,31.36444,69.20749,1556,2025-02-02
6641972,Ziarat,Balochistan,30.43591,67.50962,1906,2023-10-26
8309748,Astor,Gilgit-Baltistan,35.31352,74.92388,4176,2022-04-01
8358421,Diamir,Gilgit-Baltistan,35.53409,74.03287,1924,2019-11-28
7419077,Ghanche,Gilgit-Baltistan,35.21695,76.42429,2545,2022-04-01
11594770,Ghizer,Gilgit-Baltistan,36.1667,73.75,2275,2017-07-05
8358419,Gilgit,Gilgit-Baltistan,35.88013,74.41232,1436,2022-04-01
11744834,Kharmang,Gilgit-Baltistan,34.90302,76.0805,4089,2022-04-01
11744838,Nagar,Gilgit-Baltistan,36.27332,74.62348,2740,2025-02-04
